150.7,66.832,83.593,35.482,0,5,7,3,4,3
217.55,76.126,81.031,60.286,0,7,7,4,6,4
241.77,84.532,280.09,72.384,0,7,7,4,7,5
168.25,50.193,54.757,29.596,0,7,7,1,7,7
228.74,68.257,159.28,21.458,158.46,7,7,6,7,2
234.69,48.006,71.821,23.399,0,7,7,7,4,6
180.29,57.36,75.952,21.267,142.98,7,7,1,2,6
323.52,35.292,158.93,10.48,119.87,7,7,1,6,3
186.31,36.37,158.38,12.412,89.69,6,7,1,7,3
149.01,52.274,118.31,53.932,0,7,7,1,4,4
283.96,86.143,53.94,17.064,103.42,4,7,1,7,3
280.99,60.966,53.229,17.582,149.19,7,7,4,7,2
219.21,51.374,54.501,30.826,156.84,7,5,7,7,6
258.6,61.349,84.836,30.697,0,7,7,5,7,5
113.89,35.516,68.153,38.394,0,7,7,1,4,4
196.51,68.765,88.388,52.019,105.28,3,3,4,6,3
178.4,94.609,176.83,51.471,0,2,3,1,1,4
161.57,50.881,73.863,165.76,3.0912,7,7,4,5,3
163.44,45.664,66.086,133.55,0,7,7,2,2,4
204.98,165.44,113.78,60.058,0,7,7,3,5,5
116.81,57.19,75.545,40.919,0,7,4,1,7,4
273.79,69.163,59.231,15.046,155.59,7,2,3,4,4
210.14,66.519,147.57,45.524,0,7,7,2,2,6
167.52,137.04,67.607,25.645,99.94,7,7,5,7,5
204.13,37.526,70.974,17.906,112.58,7,7,1,7,3
134.99,44.059,143.04,44.542,0,6,6,2,7,4
236.75,158.7,116.83,88.497,0,6,6,2,7,6
299.51,56.151,42.675,32.719,100.25,7,7,3,6,3
430.11,156.39,166.14,16.83,206.97,4,6,1,2,6
